iso_code,Country,Continent,Specific Sub-Region,Date Range,total_cases,Cases per Pop,total_deaths,Deaths per Pop,Fatality,stringency_index,population,gdp_per_capita,human_development_index,Social support_2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019,happiness score 2019,Happiness Score 2020,Social support_2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020
RUS,Russia,Europe,Eastern Europe,2019-12-31 - 2020-10-19,1399334,0.009588784,24187,0.000165739,0.017284651,52.05265514,145934460,24765.954,0.816,1.452,0.726,0.334,0.082,0.031,5.648,5.546,1.378644,0.680446,0.3995,0.099042,0.045699
RWA,Rwanda,Africa,Sub-Saharan Africa,2020-03-15 - 2020-10-19,4974,0.000384027,34,2.63E-06,0.006835545,73.84890745,12952209,1854.211,0.524,0.711,0.614,0.555,0.217,0.411,3.334,3.3123,0.522876,0.572383,0.604088,0.235705,0.485542
SAU,Saudi Arabia,Asia,Western Asia,2020-03-02 - 2020-10-19,342202,0.009829474,5185,0.000148935,0.015151869,70.69104675,34813867,49045.411,0.853,1.357,0.795,0.439,0.08,0.132,6.375,6.4065,1.30995,0.759818,0.548477,0.087441,0.163322
SEN,Senegal,Africa,Sub-Saharan Africa,2020-02-28 - 2020-10-19,15418,0.000920811,317,1.89E-05,0.020560384,51.45243606,16743930,2470.58,0.505,1.134,0.571,0.292,0.153,0.072,4.681,4.9808,0.954593,0.518392,0.352401,0.164397,0.081866
SRB,Serbia,Europe,Southern Europe,2020-02-26 - 2020-10-19,36160,0.005314055,776,0.000114041,0.021460177,57.64969098,6804596,14048.881,0.787,1.383,0.854,0.282,0.137,0.039,5.603,5.7782,1.327449,0.828403,0.395428,0.150283,0.059447
SLE,Sierra Leone,Africa,Sub-Saharan Africa,2020-04-01 - 2020-10-19,2330,0.00029209,73,9.15E-06,0.031330472,51.17728922,7976985,1390.3,0.419,0.841,0.242,0.309,0.252,0.045,4.374,3.9264,0.747985,0.203954,0.382028,0.257647,0.047941
SGP,Singapore,Asia,South-eastern Asia,2019-12-31 - 2020-10-19,57911,0.009898736,28,4.79E-06,0.000483501,50.73331972,5850343,85535.383,0.932,1.463,1.141,0.556,0.271,0.453,6.262,6.3771,1.395457,1.137814,0.635317,0.218771,0.533162
SVK,Slovakia,Europe,Eastern Europe,2020-03-06 - 2020-10-19,29835,0.005464643,88,1.61E-05,0.002949556,50.06459008,5459643,30155.152,0.855,1.504,0.881,0.334,0.121,0.014,6.198,6.2806,1.424331,0.853465,0.423543,0.11673,0.011291
SVN,Slovenia,Europe,Southern Europe,2020-03-05 - 2020-10-19,13683,0.006581745,161,7.74E-05,0.011766425,52.02577093,2078932,31400.84,0.896,1.523,0.953,0.564,0.144,0.057,6.118,6.3634,1.464678,0.932548,0.6467,0.145701,0.076516
ZAF,South Africa,Africa,Sub-Saharan Africa,2020-02-07 - 2020-10-19,703793,0.011866608,18471,0.000311438,0.026244933,39.81,59308690,12294.876,0.699,1.351,0.469,0.389,0.13,0.055,4.722,4.8141,1.259086,0.407034,0.434782,0.126407,0.059502
KOR,South Korea,Asia,Eastern Asia,2019-12-31 - 2020-10-19,25275,0.000492986,444,8.66E-06,0.017566766,47.31492807,51269183,35938.374,0.903,1.219,1.036,0.159,0.175,0.056,5.895,5.8724,1.133561,1.022543,0.259356,0.170304,0.094596
SSD,South Sudan,Africa,Sub-Saharan Africa,2020-04-06 - 2020-10-19,2842,0.000253892,55,4.91E-06,0.019352569,76.74879888,11193729,1569.888,0.388,0.575,0.295,0.01,0.202,0.091,2.853,2.8166,0.553279,0.208809,0.065609,0.209935,0.111157
ESP,Spain,Europe,Southern Europe,2019-12-31 - 2020-10-18,936560,0.02003132,33775,0.000722386,0.036062826,51.25279503,46754783,34272.36,0.891,1.484,1.062,0.362,0.153,0.079,6.354,6.4009,1.421099,1.051343,0.425984,0.165305,0.10958
LKA,Sri Lanka,Asia,Southern Asia,2019-12-31 -2020-10-19,5538,0.000258625,13,6.07E-07,0.002347418,44.56136175,21413250,11669.077,0.77,1.265,0.831,0.47,0.244,0.047,4.366,4.327,1.19494,0.792037,0.528632,0.252666,0.049445
SWZ,Swaziland,Africa,Sub-Saharan Africa,2020-03-15 - 2020-10-19,5780,0.004982054,116,1.00E-04,0.020069204,76.8874435,1160164,7738.975,0.588,1.149,0,0.313,0.074,0.135,4.212,4.3081,1.064835,0.215586,0.299936,0.067265,0.146766
SWE,Sweden,Europe,Northern Europe,2019-12-31 - 2020-10-16,103200,0.01021856,5918,0.000585983,0.057344961,37.04,10099270,46949.283,0.933,1.487,1.009,0.574,0.267,0.373,7.343,7.3535,1.433348,0.98647,0.650298,0.272828,0.442066
CHE,Switzerland,Europe,Western Europe,2019-12-31 - 2020-10-19,74422,0.008599109,1823,0.000210639,0.024495445,35.19,8654618,57410.166,0.944,1.526,1.052,0.572,0.263,0.343,7.48,7.5599,1.472403,1.040533,0.628954,0.269056,0.407946
